ISmiRNA	MFEI	NMFE	sqlen	GC	hairpinMFE	interior_loopMFE	STACKMFE	BULGEMFE
T	-0.7257777627309163	-0.5183098484093035	71	50.70422535211268	-4.088888804117839	-3.066666603088379	-1.5999999668287195	-3.6799999237060548
T	-0.7777777777777778	-0.42857142857142855	70	38.57142857142857	-1.875	-2.3076923076923075	-1.6666666666666667	-3.0
T	-0.7610909409956498	-0.527536253998245	69	47.82608695652174	-9.100000381469727	-3.3090910478071733	-1.6545455239035867	-3.3090910478071733
T	-0.7286842105263158	-0.4551282051282051	78	48.717948717948715	-1.868421052631579	-2.730769230769231	-2.5357142857142856	-3.55
T	-0.6573529243469238	-0.3973333231608073	75	45.333333333333336	-2.292307633620042	-2.292307633620042	-1.7529411315917969	-2.9799999237060546
T	-0.7299999872843425	-0.5474999904632568	80	60.0	-6.257142748151507	-3.1285713740757535	-2.0857142493838357	-3.98181811246005
T	-0.8934545829079368	-0.4493827348873939	81	40.74074074074074	-7.280000305175781	-3.0333334604899087	-1.4000000586876502	-3.3090910478071733
T	-0.7336216055380331	-0.4461538363725711	78	47.43589743589744	-1.9333332909478083	-3.1636362942782315	-1.657142820812407	-3.1636362942782315
T	-1.3230000178019206	-0.47647059464655	119	42.857142857142854	-4.050000054495675	-3.7800000508626304	-1.8900000254313152	-5.670000076293945
T	-0.7440697674418605	-0.4876543209876543	81	53.08641975308642	-4.9375	-3.2916666666666665	-1.880952380952381	-3.590909090909091
T	-0.5556756921716639	-0.32125000953674315	80	46.25	-2.1416667302449546	-1.976923135610727	-1.427777820163303	-2.5700000762939452
T	-0.7985294285942526	-0.48266667683919273	75	45.333333333333336	-9.050000190734863	-2.784615443303035	-1.6454545801336116	-3.6200000762939455
T	-0.8631562113761903	-0.42098763548297646	81	39.50617283950617	-4.262499809265137	-2.6230768057016225	-1.549999930641868	-3.4099998474121094
T	-0.7872187596559524	-0.3839506219934534	81	39.50617283950617	-6.220000076293945	-2.221428598676409	-1.3521739296291186	-3.1100000381469726
T	-0.6262285799298968	-0.36025641514704776	78	44.87179487179487	-2.1615384908822866	-2.5545454892245205	-1.2772727446122603	-2.3416666984558105
T	-0.6363157894736843	-0.3974358974358974	78	48.717948717948715	-6.2	-2.3846153846153846	-1.55	-2.8181818181818183
T	-0.8118836921869322	-0.5320987465940876	81	53.08641975308642	-8.61999969482422	-3.5916665395100913	-1.959090839732777	-3.5916665395100913
T	-0.8159268141955864	-0.509876533790871	81	50.617283950617285	-3.7545453851873223	-3.7545453851873223	-2.0649999618530273	-3.441666603088379
T	-0.8195294481165268	-0.42469137686270253	81	41.97530864197531	-5.733333587646484	-2.866666793823242	-1.3230769817645733	-3.1272728659889917
T	-0.6288157894736842	-0.36419753086419754	81	46.91358024691358	-2.269230769230769	-2.4583333333333335	-1.2826086956521738	-2.6818181818181817
T	-0.7965	-0.36419753086419754	81	37.03703703703704	-5.9	-2.269230769230769	-1.2826086956521738	-2.6818181818181817
T	-0.680952380952381	-0.35454545454545455	110	57.27272727272727	-2.2941176470588234	-2.7857142857142856	-1.3928571428571428	-3.5454545454545454
T	-0.5786666488647462	-0.3542857033865792	70	42.857142857142854	-4.959999847412109	-2.066666603088379	-1.0782608363939368	-2.4799999237060546
T	-0.6606383222214719	-0.5520000203450521	75	62.666666666666664	-8.280000305175781	-2.9571429661342075	-1.9714286440894717	-4.1400001525878904
T	-0.3565000049273173	-0.22258064823765908	62	38.70967741935484	-2.7600000381469725	-0.9857142993382045	-0.9857142993382045	-1.2545454718849876
T	-0.5620833333333333	-0.4014084507042254	71	50.70422535211268	-7.125	-2.375	-1.2954545454545454	-2.590909090909091
T	-0.6390000300937229	-0.4563380496602663	71	50.70422535211268	-8.100000381469727	-2.7000001271565757	-1.4727273420854048	-3.2400001525878905
T	-0.6068571428571429	-0.4097222222222222	72	48.611111111111114	-5.9	-2.4583333333333335	-1.3409090909090908	-2.4583333333333335
T	-0.611999991632277	-0.4102941120372099	68	45.588235294117645	-2.7899999618530273	-2.5363636016845703	-1.3285714104062034	-2.146153816810021
T	-0.6095999908447266	-0.35277777247958714	72	41.666666666666664	-1.6933333079020183	-2.116666634877523	-1.3368420851858038	-2.5399999618530273
T	-0.6146875083446502	-0.40142857687813893	70	45.714285714285715	-4.01428576878139	-2.1615384908822866	-1.5611111323038738	-2.8100000381469727
T	-0.6051999740600587	-0.5235293893253102	68	58.8235294117647	-2.5428570338657925	-3.236363497647372	-1.9777776930067275	-3.236363497647372
T	-0.5495999908447265	-0.3180555502573649	72	41.666666666666664	-3.816666603088379	-1.7615384321946363	-1.0904761723109655	-2.0818181471391157
T	-1.1406521921572477	-0.43363637057217685	110	41.81818181818182	-9.54000015258789	-3.6692308279184194	-1.6448276125151535	-3.6692308279184194
T	-0.9232142857142858	-0.42727272727272725	110	50.90909090909091	-3.6153846153846154	-3.6153846153846154	-1.6206896551724137	-3.9166666666666665
T	-0.774074074074074	-0.34545454545454546	110	49.09090909090909	-9.5	-2.375	-1.6521739130434783	-3.4545454545454546
T	-0.8697674418604651	-0.3090909090909091	110	39.09090909090909	-4.857142857142857	-2.125	-1.1724137931034482	-3.4
T	-1.0725000381469727	-0.3900000138716264	110	40.0	-8.580000305175782	-2.8600001017252605	-1.5321429116385323	-4.290000152587891
T	-0.9271428721291679	-0.4290909160267223	110	50.90909090909091	-2.1454545801336113	-3.3714286259242465	-2.052173946214759	-3.933333396911621
T	-1.074000015258789	-0.4881818251176314	110	50.0	-2.4409091255881568	-5.3700000762939455	-53.70000076293945	-5.3700000762939455
T	-0.7453061395761917	-0.301818188753995	110	44.54545454545455	-8.300000190734863	-2.3714286259242465	-1.580952417282831	-3.3200000762939452
T	-0.8286666806538899	-0.4109090978449041	110	54.54545454545455	-11.300000190734863	-2.825000047683716	-1.8833333651224773	-4.520000076293945
T	-0.831111084468781	-0.4327272588556463	110	57.27272727272727	-3.173333231608073	-3.3999998910086497	-1.8307691720815806	-4.327272588556463
T	-0.8392592748006185	-0.37454546148126777	110	49.09090909090909	-5.885714394705636	-3.433333396911621	-1.2484848716042258	-2.942857197352818
T	-0.7261549178647323	-0.43394494712899584	109	65.13761467889908	-3.3785713740757535	-3.638461479773888	-1.9708333015441895	-4.299999930641868
T	-1.054339606806917	-0.4618181748823686	110	48.18181818181818	-12.699999809265137	-3.6285713740757535	-1.8142856870378767	-4.6181817488236865
T	-0.7886440535723154	-0.3845454476096413	110	53.63636363636363	-6.0428570338657925	-3.5249999364217124	-1.5107142584664481	-2.643749952316284
T	-0.7984482469229862	-0.3827272588556463	110	52.72727272727273	-8.419999694824218	-3.0071427481515065	-1.5592592027452257	-3.238461421086238
T	-0.9847619314042348	-0.5127272865988991	110	57.27272727272727	-5.6400001525878904	-5.127272865988991	-1.7625000476837158	-5.127272865988991
T	-0.8716981132075472	-0.38181818181818183	110	48.18181818181818	-2.625	-3.0	-1.75	-3.8181818181818183
T	-0.9588679403628944	-0.4200000069358132	110	48.18181818181818	-3.3000000544956754	-3.08000005086263	-1.776923106266902	-4.6200000762939455
T	-0.8181249999999999	-0.5409090909090909	110	72.72727272727273	-14.875	-4.25	-1.9833333333333334	-4.958333333333333
T	-0.77	-0.41363636363636364	110	59.09090909090909	-11.375	-2.676470588235294	-1.9782608695652173	-4.55
T	-0.6776543417094666	-0.4536363775079901	110	73.63636363636364	-12.475000381469727	-3.8384616558368387	-1.7206897077889278	-4.158333460489909
T	-0.8584782973579738	-0.32636365023526276	110	41.81818181818182	-8.975000381469727	-2.761538578913762	-1.1966667175292969	-2.5642858232770647
T	-1.1975806451612903	-0.6136363636363636	110	56.36363636363637	-4.821428571428571	-6.136363636363637	-1.9852941176470589	-6.136363636363637
T	-0.9552631578947368	-0.3	110	34.54545454545455	-2.75	-2.5384615384615383	-1.32	-3.3
T	-0.8524999838608962	-0.36636362942782313	110	47.27272727272727	-10.074999809265137	-3.09999994131235	-1.4925925643355757	-4.029999923706055
T	-0.8690000104904174	-0.28727273074063386	110	36.36363636363637	-5.266666730244954	-2.257142884390695	-1.2640000152587891	-2.872727307406339
T	-0.8979591836734694	-0.36363636363636365	110	44.54545454545455	-2.857142857142857	-2.5	-1.6666666666666667	-4.0
T	-0.8042622675661181	-0.40545453158291905	110	55.45454545454545	-3.4307691133939304	-2.973333231608073	-1.5928570883614677	-4.459999847412109
T	-0.7949333445231119	-0.49272727966308594	110	68.18181818181819	-10.84000015258789	-4.16923082791842	-1.8066666920979817	-4.516666730244954
T	-0.9836538461538461	-0.42272727272727273	110	47.27272727272727	-4.65	-3.3214285714285716	-1.55	-3.875
T	-1.0567856992994036	-0.4890909021550959	110	50.90909090909091	-10.759999847412109	-4.138461479773889	-1.8551723874848465	-4.483333269755046
T	-0.8837288420079119	-0.4309091047807173	110	53.63636363636363	-9.480000305175782	-3.3857143947056363	-1.6344828112372036	-3.9500001271565757
T	-0.8392499828338623	-0.46049381774148823	81	44.44444444444444	-5.328571319580078	-2.869230710543119	-1.6954545107754795	-3.390909021550959
T	-0.7433333079020182	-0.4694736681486431	95	60.0	-6.371428353445871	-3.4307691133939304	-1.7839999389648438	-3.4307691133939304
T	-0.7859999847412109	-0.4678571337745303	84	50.0	-7.8599998474121096	-2.807142802647182	-1.7863636016845703	-3.5727272033691406
T	-0.7410666809082032	-0.47261905670166016	84	53.57142857142857	-9.925000190734863	-3.053846212533804	-1.8904762268066406	-3.609090978449041
T	-1.0551724137931036	-0.4235294117647059	85	34.11764705882353	-9.0	-2.769230769230769	-1.44	-3.272727272727273
T	-0.7976110903422037	-0.2989795840516382	98	36.734693877551024	-3.6624999046325684	-2.0928570883614674	-1.1269230475792518	-2.6636362942782315
T	-0.7126530612244898	-0.3711340206185567	97	50.51546391752577	-7.2	-2.5714285714285716	-1.5	-3.6
T	-1.041695684350055	-0.5092783662461743	97	47.422680412371136	-12.350000381469727	-3.8000001173753004	-1.7642857687813895	-4.116666793823242
T	-0.8545263511256168	-0.41931819915771484	88	43.18181818181818	-5.271428789411273	-2.8384616558368387	-1.6043478924295176	-3.0750001271565757
T	-1.0498648823918522	-0.5376470677992877	85	43.529411764705884	-9.140000152587891	-3.808333396911621	-1.6925926208496094	-3.808333396911621
T	-0.6977906825930573	-0.41529410867130057	85	50.588235294117645	-7.05999984741211	-2.5214285169328963	-1.7649999618530274	-3.529999923706055
T	-1.0254073920073332	-0.46605503887211513	109	49.54128440366973	-12.699999809265137	-3.6285713740757535	-1.6933333079020183	-4.6181817488236865
T	-0.7515318866486245	-0.4666666491278287	87	54.02298850574713	-8.11999969482422	-3.1230768057016225	-1.6239999389648438	-3.383333206176758
T	-0.7695318863239694	-0.4670454372059215	88	53.40909090909091	-6.849999745686849	-2.9357141767229353	-1.7869564553965693	-3.736363497647372
T	-0.7140000152587891	-0.43536586296267626	82	50.0	-7.1400001525878904	-2.5500000544956754	-2.231250047683716	-3.2454546148126777
T	-0.8346222373114692	-0.4741573119431399	89	50.561797752808985	-8.44000015258789	-3.0142857687813893	-1.9181818528608843	-3.8363637057217685
T	-0.7085302913550175	-0.45841583403030245	101	65.34653465346534	-9.259999847412109	-3.307142802647182	-1.7807692014254057	-4.209090839732777
T	-0.9183589915740183	-0.46250000866976654	88	44.31818181818182	-3.130769289456881	-3.3916667302449546	-1.5074074356644243	-4.070000076293946
T	-0.9376153696500339	-0.4686274435005936	102	50.98039215686274	-3.676923018235427	-3.9833332697550454	-1.5419354592600176	-4.345454476096413
T	-0.8444680558874252	-0.48999998304578996	90	52.22222222222222	-3.1499998910086497	-3.6749998728434243	-2.3210525512695312	-4.409999847412109
T	-1.0656249523162842	-0.34099998474121096	100	32.0	-2.4357141767229353	-2.2733332316080728	-1.4826086293096128	-3.4099998474121094
T	-0.9710399688720702	-0.46666665170706956	102	49.01960784313726	-7.933333079020183	-3.6615383441631613	-1.6999999455043249	-4.327272588556463
T	-0.6020000267028808	-0.4095238276890346	84	57.142857142857146	-4.914285932268415	-2.6461539635291467	-1.5636364329944958	-3.1272728659889917
T	-1.0074074356644243	-0.544000015258789	100	54.0	-6.0444446139865455	-4.533333460489909	-1.9428571973528181	-4.533333460489909
T	-0.8783018867924528	-0.5157894736842106	95	55.78947368421053	-6.125	-3.769230769230769	-1.96	-3.769230769230769
T	-0.9882307522113506	-0.5091953935294316	87	44.827586206896555	-8.859999847412109	-4.027272657914595	-1.4766666412353515	-4.429999923706054
T	-0.9001311342833472	-0.48867923808547686	106	57.54716981132076	-7.399999891008649	-3.453333282470703	-1.9185184902615018	-4.709090839732777
T	-0.9	-0.5232558139534884	86	50.0	-4.090909090909091	-3.4615384615384617	-2.0454545454545454	-3.75
T	-0.861142825172061	-0.4670454372059215	88	47.72727272727273	-5.871428353445871	-3.4249998728434243	-1.5222221657081887	-4.1099998474121096
T	-0.7466181938864968	-0.5425287444016029	87	63.2183908045977	-9.44000015258789	-4.290909160267223	-1.6275862332048088	-3.933333396911621
T	-1.047857175554548	-0.5433333502875434	90	46.666666666666664	-6.985714503696987	-4.44545468417081	-1.686206949168238	-4.075000127156575
T	-0.9684473509537546	-0.48620688778230514	87	43.67816091954023	-2.8199999491373697	-3.5249999364217124	-2.014285677955264	-3.8454544760964136
T	-0.7828363508744673	-0.5086956438810929	92	59.78260869565217	-9.359999847412109	-3.59999994131235	-1.7333333050763164	-3.8999999364217124
T	-1.013611111111111	-0.4606741573033708	89	40.449438202247194	-2.7333333333333334	-3.4166666666666665	-1.4642857142857142	-4.1
T	-1.0603125	-0.4482758620689655	87	36.7816091954023	-3.0	-3.5454545454545454	-1.3448275862068966	-3.5454545454545454
T	-0.9382500171661378	-0.4633333418104384	90	44.44444444444444	-5.9571429661342075	-3.207692366379958	-1.603846183189979	-4.170000076293945
T	-0.7790588363946652	-0.5372093111969704	86	59.30232558139535	-9.240000152587891	-3.553846212533804	-2.008695685345194	-3.8500000635782876
T	-0.7241363482041792	-0.4022471824388825	89	49.438202247191015	-3.5799999237060547	-2.7538460951585035	-1.431999969482422	-3.2545453851873223
T	-0.7574444156222874	-0.4717646879308364	85	52.94117647058823	-8.019999694824218	-3.084615267240084	-1.7434781945270041	-3.6454544067382812
T	-0.7740980537264955	-0.4195876367313346	97	52.577319587628864	-6.783333460489909	-3.130769289456881	-1.5074074356644243	-3.130769289456881
T	-0.9112499713897705	-0.5399999830457899	90	53.333333333333336	-3.2399998982747396	-4.418181679465554	-1.7999999434859664	-4.049999872843425
T	-0.5806818181818182	-0.4794520547945205	73	60.273972602739725	-8.75	-2.9166666666666665	-1.6666666666666667	-2.6923076923076925
T	-1.0083783783783784	-0.5548780487804879	82	45.1219512195122	-4.55	-4.136363636363637	-1.75	-4.136363636363637
T	-1.0053620950106916	-0.5949495103624132	99	58.58585858585859	-4.908333460489909	-4.530769348144531	-1.9000000492219002	-5.8900001525878904
T	-0.858	-0.3939393939393939	99	45.45454545454545	-9.75	-2.7857142857142856	-1.3448275862068966	-3.5454545454545454
T	-0.7787499999999999	-0.6292134831460674	89	71.91011235955057	-8.0	-4.0	-2.5454545454545454	-5.090909090909091
T	-0.8669999885559081	-0.6880952290126255	84	66.66666666666667	-11.55999984741211	-4.816666603088379	-2.140740712483724	-4.446153787466196
T	-0.9264705882352942	-0.44642857142857145	84	40.476190476190474	-2.8846153846153846	-2.8846153846153846	-1.6304347826086956	-3.409090909090909
T	-0.7723902595333937	-0.4488095328921363	84	48.80952380952381	-3.7700000762939454	-2.90000005868765	-1.6391304679538892	-3.7700000762939454
T	-0.8152692428001991	-0.6304878141821885	82	63.41463414634146	-7.385714394705636	-3.9769231356107273	-2.4619047982352122	-4.308333396911621
T	-1.1401935060562627	-0.47790695900140806	86	36.04651162790697	-2.7399998982747396	-3.736363497647372	-1.5222221657081887	-3.736363497647372
T	-0.6639199737548829	-0.4488371915595476	86	58.13953488372093	-7.719999694824219	-2.573333231608073	-1.8380951654343378	-3.509090770374645
T	-0.9262069077327334	-0.37176471037023207	85	34.11764705882353	-7.900000095367432	-2.257142884390695	-1.3166666825612385	-3.160000038146973
T	-0.7888571548461915	-0.570454554124312	88	63.63636363636363	-4.563636432994496	-4.183333396911621	-2.0916666984558105	-5.020000076293945
T	-0.9325714656284877	-0.4517647238338695	85	41.1764705882353	-6.400000254313151	-2.7428572518484935	-1.5360000610351563	-3.8400001525878906
T	-0.8220612109437281	-0.532183899276558	87	56.32183908045977	-3.0866666158040363	-3.8583332697550454	-1.8519999694824218	-4.6299999237060545
T	-0.9636410424648187	-0.50813954375511	86	45.348837209302324	-3.1214286259242465	-3.361538520226112	-1.9000000331712805	-4.3700000762939455
T	-0.6999069639693859	-0.5805555449591743	72	59.72222222222222	-8.359999847412109	-3.215384556696965	-2.4588234845329735	-4.179999923706054
T	-0.5511578810842414	-0.4529411652508904	68	55.88235294117647	-1.3999999653209338	-2.7999999306418677	-1.8117646610035616	-2.7999999306418677
T	-0.7946538565709041	-0.4098591603023905	71	36.61971830985915	-5.820000076293946	-2.425000031789144	-1.212500015894572	-2.910000038146973
T	-0.7375	-0.45384615384615384	65	40.0	-5.9	-2.4583333333333335	-1.3409090909090908	-2.6818181818181817
T	-0.753243919000393	-0.3898876490217916	89	46.06741573033708	-8.675000190734863	-2.4785714830671037	-1.5086956853451936	-3.1545455239035864
T	-0.7023829650878907	-0.4678571337745303	84	55.95238095238095	-6.549999872843425	-2.807142802647182	-2.1833332909478083	-3.5727272033691406
T	-0.7954716736415647	-0.5835293938131894	85	62.35294117647059	-9.919999694824218	-3.815384498009315	-2.2545453851873223	-4.509090770374645
T	-0.728160025024414	-0.5414634332424257	82	60.97560975609756	-6.342857360839844	-3.171428680419922	-2.1142857869466147	-4.44000015258789
T	-0.7852307520157251	-0.39545453678477893	88	44.31818181818182	-2.8999999364217124	-2.4857142312186107	-1.7399999618530273	-3.1636362942782315
T	-0.6783777626885309	-0.3853932498546129	89	50.561797752808985	-6.8599998474121096	-2.4499999455043246	-1.633333297002883	-3.4299999237060548
T	-0.8477999725341797	-0.5233333163791233	90	55.55555555555556	-5.887499809265137	-3.6230768057016225	-1.8115384028508112	-4.281818043101918
T	-0.8255357142857143	-0.4855072463768116	69	40.57971014492754	-2.7916666666666665	-2.7916666666666665	-1.763157894736842	-3.35
T	-0.740625	-0.379746835443038	79	40.50632911392405	-7.5	-2.3076923076923075	-1.5	-2.727272727272727
T	-0.8782908956354315	-0.5134020539903149	97	56.70103092783505	-7.114285605294364	-3.557142802647182	-2.074999968210856	-4.527272657914595
T	-0.7064615220289964	-0.3904761813935779	84	46.42857142857143	-2.98181811246005	-2.5230768643892727	-1.4260869233504585	-2.98181811246005
T	-0.6954838709677419	-0.36363636363636365	77	40.25974025974026	-5.6	-2.3333333333333335	-1.1666666666666667	-2.5454545454545454
T	-1.0578749799728393	-0.6396825275723896	63	38.095238095238095	-10.074999809265137	-3.6636362942782315	-1.6119999694824219	-4.029999923706055
T	-0.7420571616036552	-0.35116279956906343	86	40.69767441860465	-6.040000152587891	-2.323076981764573	-1.2583333651224773	-3.0200000762939454
T	-0.43787233474406795	-0.41999999455043246	70	67.14285714285714	-5.8799999237060545	-2.0999999727521623	-1.837499976158142	-2.9399999618530273
T	-0.6833333333333333	-0.5125	80	60.0	-4.1	-3.1538461538461537	-1.9523809523809523	-3.4166666666666665
T	-0.6245957313699925	-0.43658535654951885	82	57.31707317073171	-7.159999847412109	-2.7538460951585035	-1.7047618684314547	-3.5799999237060547
T	-1.0198297573657746	-0.5663043312404467	92	51.08695652173913	-3.0647057925953582	-4.736363497647372	-1.8607142312186105	-4.341666539510091
T	-0.8672999839782715	-0.49166665758405415	84	47.61904761904762	-8.259999847412109	-2.9499999455043246	-1.795652140741763	-3.7545453851873223
T	-0.7535999908447266	-0.43611110581292045	72	41.666666666666664	-2.8545454198663887	-2.616666634877523	-1.4952380770728702	-3.1399999618530274
T	-0.7583333333333333	-0.4846153846153846	65	41.53846153846154	-3.15	-2.625	-1.575	-3.15
T	-0.633870986200148	-0.3493333435058594	75	41.333333333333336	-6.550000190734863	-2.0153846740722656	-1.3789474085757607	-2.381818251176314
T	-0.7696153846153846	-0.39655172413793105	87	44.827586206896555	-3.45	-2.4642857142857144	-1.5681818181818181	-3.1363636363636362
T	-0.8724599830627442	-0.35405404718072564	111	45.04504504504504	-5.614285605294364	-3.0230768643892727	-1.2677419108729209	-3.5727272033691406
T	-0.7430357142857144	-0.3904109589041096	73	38.35616438356164	-2.375	-2.1923076923076925	-1.5	-2.85
T	-0.6865806284258443	-0.46029410642736096	68	45.588235294117645	-7.824999809265137	-2.0866666158040363	-2.2357142312186107	-3.1299999237060545
T	-0.6917241379310345	-0.4338235294117647	68	42.64705882352941	-4.214285714285714	-2.269230769230769	-1.5526315789473684	-2.95
T	-0.8245000108083088	-0.42794118208043713	68	35.294117647058826	-3.637500047683716	-2.2384615678053637	-1.5315789674457752	-2.910000038146973
T	-0.864947355169999	-0.37727272149288293	66	28.78787878787879	-4.979999923706055	-2.074999968210856	-1.1857142675490606	-2.2636363289572974
T	-0.7565384718088003	-0.40142857687813893	70	37.142857142857146	-2.1615384908822866	-2.3416666984558105	-1.5611111323038738	-2.8100000381469727
T	-0.5511627973512161	-0.42133333841959636	75	57.333333333333336	-3.160000038146973	-2.633333365122477	-1.6631579148141962	-2.633333365122477
T	-0.750400014604841	-0.5850746382528277	67	52.23880597014925	-3.2666667302449546	-3.2666667302449546	-1.9600000381469727	-3.9200000762939453
T	-0.5399411689533907	-0.408955218187019	67	50.74626865671642	-5.479999923706055	-2.1076922783484826	-1.5222222010294597	-2.490909056230025
T	-0.7176000300816127	-0.527536253998245	69	50.72463768115942	-7.280000305175781	-2.8000001173753004	-2.0222223069932728	-3.6400001525878904
T	-1.08	-0.4791666666666667	72	31.944444444444443	-4.928571428571429	-3.1363636363636362	-1.4375	-3.45
T	-0.39888370957485464	-0.41874998807907104	64	67.1875	-2.9777776930067272	-2.2333332697550454	-1.6749999523162842	-2.4363635670055044
T	-0.6188000259399414	-0.26764707004322724	68	29.41176470588235	-3.6400001525878904	-1.8200000762939452	-0.7913043809973676	-1.5166667302449544
T	-0.7078889083862304	-0.40144928641941235	69	39.130434782608695	-1.8466667175292968	-2.51818188753995	-1.8466667175292968	-2.308333396911621
T	-0.726	-0.5833333333333334	66	53.03030303030303	-4.277777777777778	-3.5	-1.75	-3.85
T	-0.6293214103153774	-0.3925373020456798	67	41.791044776119406	-1.6437499523162842	-2.191666603088379	-1.6437499523162842	-2.6299999237060545
T	-0.5978	-0.4016393442622951	61	40.98360655737705	-1.8846153846153846	-2.227272727272727	-1.3611111111111112	-2.227272727272727
T	-0.8875	-0.47333333333333333	75	40.0	-5.071428571428571	-2.9583333333333335	-1.4791666666666667	-3.227272727272727
T	-0.7626206996523102	-0.3828947418614438	76	38.1578947368421	-2.2384615678053637	-2.078571455819266	-1.5315789674457752	-2.6454545801336113
T	-0.5698055632909139	-0.38493151207492776	73	49.31506849315068	-5.6200000762939455	-2.1615384908822866	-1.4789473884984066	-2.5545454892245205
T	-0.9191891696002032	-0.3768420972322163	95	38.94736842105263	-2.9833332697550454	-2.9833332697550454	-1.3769230475792518	-3.2545453851873223
T	-0.7734386216548451	-0.4989361864455203	94	60.638297872340424	-3.3500001089913503	-3.9083334604899087	-1.8760000610351562	-3.3500001089913503
T	-0.6426470700432273	-0.5826666768391927	75	68.0	-8.740000152587891	-3.1214286259242465	-2.427777820163303	-3.972727342085405
T	-0.963734709292042	-0.48181818952464095	99	49.494949494949495	-7.950000127156575	-3.4071429116385326	-1.8346154139592097	-4.3363637057217685
T	-0.834933364868164	-0.4344086185578377	93	48.38709677419355	-2.8857143947056363	-3.672727411443537	-1.6160000610351561	-3.672727411443537
